SampleID,Station,Station_alt,Year,Month,Day,Temp_C,Salinity_ppt,Silica,P,Ni_Nitrate,NH4,del_15N,del_13C,del_15N_zoo,del_13C_zoo,perC,perN,Cnratio,DOC,notes
SA990922-1,1,1,1999,9,11,,34.9,47.49,2.16,21.3,1.83,7.36,-22.51,,,7.15,0.68,10.52,,
SA990922-2,2,2,1999,9,11,,34.8,47.94,2.18,21.2,5.51,6.24,-22.02,,,4.94,0.77,,,
SA990922-3,3,3,1999,9,11,,33.7,49.25,1.69,11.5,5.59,7.36,-22.45,,,8.63,1.15,7.52,,
SA990922-4,4,4,1999,9,11,,30.9,51.47,0.93,4.2,1.24,8.02,-25.47,,,11.22,1.24,,,
SA990922-5,5,5,1999,9,11,,27.3,64.22,0.49,1.1,0.96,6.07,-25.84,,,6.36,0.66,,,
SA990922-6,6,6,1999,9,11,,25.1,55.59,0.35,1.1,5.6,6,-26.23,,,6.39,0.85,,,
SA990922-7,7,7,1999,9,11,,20.2,50.09,0.21,2.5,4.86,5.82,-26.3,,,9.05,0.75,,,
SA990922-8,8,8,1999,9,11,,0.3,56.06,0.4,11,2.4,2.18,-27.26,,,5.03,0.62,,,
SA990922-9,9,9,1999,9,11,,0.07,57.89,0.44,10.1,3.2,,,,,,,,,
SA990922-10,10,10,1999,9,11,,0.07,70.2,0.48,10.7,4.49,,,,,4.94,0.77,,,
SB991022-1,1,1,1999,10,22,,34.4,14.8,0.95,10.1,1.13,4.93,-19.46,,,9.25,1.77,5.23,,
SB991022-2,2,2,1999,10,22,,34.3,16.2,1.09,12.3,1.43,5.95,-19.19,,,7.62,1.45,5.25,,
SB991022-3,3,3,1999,10,22,,33.5,36.3,1.34,12,4.42,5.4,-22.95,,,7.55,0.94,8.01,,
SB991022-4,4,4,1999,10,22,,30.9,49.2,1.14,7.5,3.03,6.36,-24.96,,,11.14,1.24,8.97,,
SB991022-5,5,5,1999,10,22,,28.8,54.4,0.78,6.6,2.76,7.89,-24.42,,,9.8,1.4,7.01,,
SB991022-6,6,6,1999,10,22,,24.4,65.5,0.55,8.2,4.51,5.77,-25.69,,,16.22,0.97,16.7,,
SB991022-7,7,7,1999,10,22,,22.7,69.2,0.59,8.2,5.85,2.21,-27.17,,,10.28,0.75,13.69,,
SB991022-7.5,7.5,7.1,1999,10,22,,5,147.8,0.23,15.1,7.44,2.63,-27.31,,,4.91,0.61,8.05,0.35,
SB991022-8,8,8,1999,10,22,,0.9,169.1,0.31,12.6,5.32,2.06,-27.36,,,11.55,0.8,14.52,,
SB991022-9,9,9,1999,10,22,,0.07,178.4,0.42,8.1,2.1,3.19,-27,,,16.41,2.66,6.17,,
SB991022-10,10,10,1999,10,22,,0.07,181.3,0.52,9.1,2.2,,,,,,,,,
SC991221-1,1,1,1999,12,21,,23.7,56.6,0.82,22.8,2.33,,,,,,,,1.28,
SC991221-2,2,2,1999,12,21,,20.4,81.8,0.71,34.7,4.01,,,,,,,,1.68,
SC991221-3,3,3,1999,12,21,,12.6,131.4,0.57,55.3,3.04,,,,,,,,1.23,
SC991221-4,4,4,1999,12,21,,4.2,112,0.38,77.2,2.43,,,,,,,,1.55,
